Date,Open,High,Low,Close,Volume
2019-05-24,27.09,27.13,25.69,26.02,4886302.0
2019-05-23,26.13,27.22,26.03,26.64,3907042.0
2019-05-22,27.81,28.01,27.21,27.37,1975300.0
2019-05-21,27.65,28.03,27.3,27.86,2400144.0
2019-05-20,27.23,27.9,26.91,27.37,3776748.0
2019-05-17,28.83,29.13,27.7,27.92,4423568.0
2019-05-16,30.06,30.19,29.21,29.61,2413437.0
2019-05-15,28.9,30.32,28.79,29.88,4794255.0
2019-05-14,28.71,29.16,27.75,28.81,4359900.0
2019-05-13,27.21,28.96,27.15,27.83,4815209.0
2019-05-10,29.74,31.2,28.32,28.97,13083733.0
2019-05-09,31.7,32.51,30.96,32.29,3591738.0
2019-05-08,32.89,33.09,32.0,32.81,4132053.0
2019-05-07,35.33,35.44,32.67,33.15,4663539.0
2019-05-06,34.74,35.78,34.5,35.58,3174220.0
2019-05-03,35.88,36.99,35.65,36.85,1988759.0
2019-05-02,35.23,35.83,34.98,35.64,1691615.0
2019-05-01,35.48,36.12,35.15,35.19,1999286.0
2019-04-30,34.3,35.64,34.21,35.07,4223981.0
2019-04-29,34.03,34.88,33.33,34.36,11057735.0
2019-04-26,37.02,37.19,36.51,36.87,1165513.0
2019-04-25,36.98,37.25,36.15,36.87,2243250.0
2019-04-24,37.66,37.82,36.79,36.85,3565779.0
2019-04-23,36.26,37.6,35.81,37.52,3944777.0
2019-04-22,35.09,36.28,34.96,36.26,1817183.0
2019-04-18,35.95,36.06,35.27,35.67,1973559.0
2019-04-17,36.71,36.98,35.54,36.04,4352007.0
2019-04-16,36.59,36.87,35.83,36.23,3584147.0
2019-04-15,37.85,37.88,35.94,35.99,6648004.0
2019-04-12,38.19,38.96,37.84,38.11,3626011.0
2019-04-11,37.87,37.97,36.69,37.2,4297508.0
2019-04-10,38.82,39.0,37.62,38.03,3830976.0
2019-04-09,39.28,39.33,38.82,38.98,2216012.0
2019-04-08,39.85,39.96,38.8,39.55,2456309.0
2019-04-05,40.1,40.3,39.6,40.01,2427367.0
2019-04-04,40.55,40.68,39.34,39.76,2591395.0
2019-04-03,40.28,41.5,39.88,40.67,4061867.0
2019-04-02,40.71,40.8,39.11,39.88,3412998.0
2019-04-01,39.07,41.4,39.01,40.81,7183016.0
2019-03-29,38.09,38.69,37.94,38.24,4472325.0
2019-03-28,37.49,37.66,37.03,37.59,2860559.0
2019-03-27,37.61,38.41,37.12,37.31,2378801.0
2019-03-26,38.29,38.55,37.21,37.6,2606098.0
2019-03-25,36.72,38.37,36.49,38.17,2668475.0
2019-03-22,38.08,38.4,36.89,37.13,2264004.0
2019-03-21,37.78,38.57,37.76,38.5,2219363.0
2019-03-20,38.42,38.42,37.33,38.07,2986208.0
2019-03-19,38.97,39.42,38.34,38.54,4031123.0
2019-03-18,38.96,39.98,38.69,38.86,7060470.0
2019-03-15,37.26,38.69,37.26,38.5,5233272.0
2019-03-14,36.89,37.84,36.3,37.22,5321937.0
2019-03-13,37.0,37.94,36.57,37.79,8071808.0
2019-03-12,36.1,37.85,35.52,36.44,19954458.0
2019-03-11,33.28,33.71,31.96,32.55,8731675.0
2019-03-08,31.07,33.07,31.0,32.77,3797653.0
2019-03-07,34.86,34.98,32.32,32.72,5184514.0
2019-03-06,35.39,36.05,35.1,35.27,4184145.0
2019-03-05,33.9,35.54,33.81,35.18,4459897.0
2019-03-04,34.1,34.56,32.74,33.87,3755463.0
2019-03-01,34.19,34.41,32.82,33.28,4171378.0
2019-02-28,34.65,34.65,32.81,33.17,3783424.0
2019-02-27,33.92,34.83,33.68,34.61,2019584.0
2019-02-26,34.64,34.76,33.36,34.55,3408729.0
2019-02-25,35.4,35.59,34.28,35.34,5174197.0
2019-02-22,32.1,33.2,31.91,33.14,2879621.0
2019-02-21,32.12,32.47,31.3,31.61,2739316.0
2019-02-20,32.27,33.0,31.62,31.82,3244534.0
2019-02-19,30.4,32.42,30.25,32.36,3374740.0
2019-02-15,31.22,31.22,29.98,30.04,2647141.0
2019-02-14,31.33,31.33,30.43,31.23,2205968.0
2019-02-13,31.17,32.65,31.1,31.33,3356570.0
2019-02-12,29.95,30.79,29.67,30.7,1865090.0
2019-02-11,29.53,30.07,29.41,29.67,2564044.0
2019-02-08,28.5,29.57,28.2,29.21,2253340.0
2019-02-07,29.84,29.89,28.43,28.69,3314085.0
2019-02-06,30.69,30.95,29.91,30.13,1635914.0
2019-02-05,29.92,30.84,29.74,30.61,1795713.0
2019-02-04,30.13,30.29,29.62,29.77,1787267.0
2019-02-01,30.59,31.32,29.98,30.33,2718857.0
2019-01-31,30.12,30.9,29.96,30.43,3052884.0
2019-01-30,29.5,29.97,29.08,29.75,2615967.0
2019-01-29,29.98,29.98,28.49,28.97,3074109.0
2019-01-28,30.5,30.58,29.48,30.04,2875889.0
2019-01-25,29.96,31.39,29.82,31.05,3836216.0
2019-01-24,28.34,29.59,28.3,29.53,2716839.0
2019-01-23,29.31,29.41,28.19,28.39,4354061.0
2019-01-22,29.74,30.06,28.52,28.97,6599477.0
2019-01-18,29.02,30.53,28.96,30.26,8165221.0
2019-01-17,27.72,29.14,27.51,28.67,4942117.0
2019-01-16,27.07,28.1,27.07,27.76,2524505.0
2019-01-15,26.8,27.18,26.71,26.94,2872112.0
2019-01-14,26.57,26.65,26.2,26.57,3153871.0
2019-01-11,26.73,27.07,26.07,26.98,3024539.0
2019-01-10,26.88,27.2,26.51,27.0,2420177.0
2019-01-09,26.75,27.41,26.3,27.15,3761771.0
2019-01-08,26.46,26.79,26.14,26.6,4072392.0
2019-01-07,25.63,26.22,25.36,26.22,3685701.0
2019-01-04,24.75,25.55,24.34,25.41,2802707.0
2019-01-03,24.5,24.77,23.98,24.03,2291752.0
2019-01-02,23.06,25.21,22.85,24.83,3032296.0
2018-12-31,24.56,25.08,23.6,23.75,1978892.0
2018-12-28,24.48,24.72,23.9,24.41,2318220.0
2018-12-27,23.62,24.5,23.46,24.37,2511999.0
2018-12-26,23.83,24.26,22.91,24.22,2832906.0
2018-12-24,23.13,24.14,23.09,23.68,1712357.0
2018-12-21,23.52,24.1,23.3,23.38,3623164.0
2018-12-20,23.08,23.64,22.89,23.34,3832035.0
2018-12-19,24.66,25.05,23.02,23.46,4217025.0
2018-12-18,24.51,24.92,24.28,24.49,3321722.0
2018-12-17,25.12,25.26,24.21,24.29,3663369.0
2018-12-14,24.94,25.85,24.47,25.22,2761151.0
2018-12-13,26.0,26.17,25.33,25.46,3257492.0
2018-12-12,25.06,26.36,25.01,25.58,4993265.0
2018-12-11,24.86,25.09,24.35,24.58,3794074.0
2018-12-10,24.24,25.13,24.05,24.26,4989188.0
2018-12-07,26.75,27.12,24.3,24.57,10507639.0
2018-12-06,27.2,27.8,26.01,27.05,13513043.0
2018-12-04,32.31,32.58,31.43,31.69,6663852.0
2018-12-03,33.81,33.88,32.39,33.08,5969522.0
2018-11-30,30.5,31.65,30.25,31.35,3238639.0
2018-11-29,29.65,30.67,29.59,30.35,3658238.0
2018-11-28,30.34,30.52,29.25,30.02,5652005.0
2018-11-27,29.84,30.28,29.15,29.71,4428886.0
2018-11-26,32.31,32.31,29.66,30.04,6434674.0
2018-11-23,31.35,32.38,31.0,31.67,1447974.0
2018-11-21,31.8,33.07,31.33,31.69,3499987.0
2018-11-20,29.16,31.12,28.76,30.63,3674953.0
2018-11-19,32.67,32.87,30.12,30.59,4828525.0
2018-11-16,33.71,34.14,32.41,32.96,3107189.0
2018-11-15,33.21,35.1,33.19,34.29,5346831.0
2018-11-14,31.93,33.44,31.91,32.88,3716461.0
2018-11-13,32.2,32.93,31.47,31.72,3452834.0
2018-11-12,32.82,32.83,30.74,31.51,3234865.0
2018-11-09,33.09,33.8,31.52,32.65,5603103.0
2018-11-08,35.98,36.45,34.95,35.0,2575259.0
2018-11-07,36.14,36.67,35.55,36.64,2289042.0
2018-11-06,36.05,37.17,35.12,35.77,2403608.0
2018-11-05,35.35,36.09,34.71,36.0,2524770.0
2018-11-02,37.13,37.25,34.93,35.41,5662304.0
2018-11-01,34.09,36.7,32.48,36.48,8159387.0
2018-10-31,32.33,33.84,31.76,33.57,6846446.0
2018-10-30,29.75,30.74,29.1,30.64,2941532.0
2018-10-29,31.41,32.28,29.56,30.11,4275430.0
2018-10-26,30.07,31.66,29.7,30.82,2809192.0
2018-10-25,30.81,31.68,30.37,30.69,3685321.0
2018-10-24,32.07,32.23,30.13,30.14,4225907.0
2018-10-23,30.4,32.75,30.21,31.85,3889795.0
2018-10-22,32.8,33.94,31.66,32.08,6921292.0
2018-10-19,33.89,34.32,30.27,30.46,8469775.0
2018-10-18,34.01,34.96,32.51,32.64,7305763.0
2018-10-17,37.48,37.48,34.4,34.5,7491130.0
2018-10-16,38.4,38.5,36.92,37.59,4823069.0
2018-10-15,36.63,38.4,36.1,38.02,3646471.0
2018-10-12,37.5,38.61,36.73,37.65,5501653.0
2018-10-11,34.92,36.76,34.42,35.51,4885395.0
2018-10-10,37.36,37.5,35.05,35.06,5281222.0
2018-10-09,37.58,38.51,37.33,37.68,2758207.0
2018-10-08,37.5,38.93,36.65,38.02,4316429.0
2018-10-05,39.42,39.97,38.12,39.12,3673940.0
2018-10-04,41.81,41.99,39.04,39.11,5515061.0
2018-10-03,42.12,42.92,41.05,42.39,2869971.0
2018-10-02,43.01,43.8,41.79,41.8,3378850.0
2018-10-01,44.03,44.6,43.96,44.04,2003101.0
2018-09-28,43.54,43.9,42.19,43.8,3600791.0
2018-09-27,45.39,45.69,43.82,44.22,4195016.0
2018-09-26,46.26,46.56,45.7,45.95,2217448.0
2018-09-25,45.69,46.32,45.6,46.18,1697169.0
2018-09-24,44.94,45.9,43.11,45.32,2782011.0
2018-09-21,47.0,47.27,46.14,46.44,4381405.0
