Date,Open,High,Low,Close,Volume
2019-05-24,14.14,14.22,14.06,14.16,94187.0
2019-05-23,14.22,14.26,14.03,14.08,81709.0
2019-05-22,14.22,14.27,14.14,14.21,78760.0
2019-05-21,14.2,14.24,14.12,14.18,131179.0
2019-05-20,14.03,14.2,14.03,14.15,73788.0
2019-05-17,14.03,14.15,14.02,14.03,62586.0
2019-05-16,14.14,14.22,14.03,14.07,115503.0
2019-05-15,14.06,14.18,13.98,14.13,92291.0
2019-05-14,13.89,14.11,13.89,14.06,119307.0
2019-05-13,14.02,14.11,13.85,13.89,130871.0
2019-05-10,14.23,14.36,14.04,14.16,130475.0
2019-05-09,14.2,14.31,14.18,14.3,64314.0
2019-05-08,14.49,14.49,14.26,14.28,70913.0
2019-05-07,14.51,14.68,14.37,14.46,151896.0
2019-05-06,14.33,14.59,14.1,14.54,166871.0
2019-05-03,14.26,14.47,14.23,14.42,117685.0
2019-05-02,14.2,14.3,14.18,14.23,79940.0
2019-05-01,14.3,14.32,14.14,14.17,221631.0
2019-04-30,14.35,14.37,14.25,14.36,99173.0
2019-04-29,14.54,14.56,14.35,14.37,106014.0
2019-04-26,14.43,14.64,14.43,14.58,145448.0
2019-04-25,14.5,14.5,14.27,14.43,126386.0
2019-04-24,14.49,14.55,14.36,14.42,110196.0
2019-04-23,14.36,14.49,14.27,14.44,118588.0
2019-04-22,14.3,14.4,14.21,14.31,114190.0
2019-04-18,14.35,14.4,14.27,14.28,64945.0
2019-04-17,14.4,14.4,14.29,14.37,70737.0
2019-04-16,14.17,14.4,14.17,14.37,146179.0
2019-04-15,14.18,14.24,14.13,14.17,75548.0
2019-04-12,14.25,14.25,14.13,14.13,77957.0
2019-04-11,14.21,14.27,14.15,14.18,51506.0
2019-04-10,14.24,14.24,14.11,14.17,106481.0
2019-04-09,14.29,14.34,14.17,14.25,118216.0
2019-04-08,14.26,14.31,14.22,14.24,54009.0
2019-04-05,14.32,14.35,14.22,14.27,59184.0
2019-04-04,14.27,14.35,14.25,14.32,123447.0
2019-04-03,14.29,14.31,14.2,14.28,159254.0
2019-04-02,14.21,14.29,14.16,14.22,184911.0
2019-04-01,14.2,14.25,14.12,14.2,119055.0
2019-03-29,14.15,14.31,14.1,14.15,226861.0
2019-03-28,14.05,14.18,14.05,14.14,84259.0
2019-03-27,14.09,14.16,14.07,14.16,148619.0
2019-03-26,14.1,14.24,14.04,14.08,204267.0
2019-03-25,14.05,14.12,14.0,14.02,165970.0
2019-03-22,14.03,14.1,14.0,14.0,146740.0
2019-03-21,14.0,14.08,14.0,14.0,237896.0
2019-03-20,14.0,14.17,14.0,14.01,246855.0
2019-03-19,14.03,14.1,14.0,14.01,258422.0
2019-03-18,14.05,14.15,14.0,14.09,322856.0
2019-03-15,14.3,14.33,14.0,14.0,1143932.0
2019-03-14,14.7,14.86,14.7,14.72,111243.0
2019-03-13,14.47,14.72,14.47,14.68,73930.0
2019-03-12,14.85,14.94,14.43,14.44,83827.0
2019-03-11,14.76,14.99,14.76,14.86,110840.0
2019-03-08,14.63,14.86,14.63,14.78,153609.0
2019-03-07,14.56,14.68,14.46,14.62,151497.0
2019-03-06,14.4,14.69,14.01,14.55,130595.0
2019-03-05,14.05,14.05,13.75,13.96,74387.0
2019-03-04,13.8,14.03,13.72,14.03,79994.0
