Date,Open,High,Low,Close,Volume
2019-05-24,65.35,65.85,63.55,64.12,647223.0
2019-05-23,65.0,65.97,64.19,64.96,1004274.0
2019-05-22,68.28,69.37,67.0,67.2,683925.0
2019-05-21,66.43,68.54,66.43,68.41,686423.0
2019-05-20,65.41,67.46,65.25,66.27,1559122.0
2019-05-17,66.7,68.05,66.6,67.5,1146720.0
2019-05-16,68.83,69.57,67.63,69.05,732770.0
2019-05-15,66.57,68.7,66.08,68.09,770334.0
2019-05-14,67.9,68.74,66.0,67.27,691453.0
2019-05-13,67.51,68.55,66.0,66.41,1528060.0
2019-05-10,73.68,75.28,71.0,71.96,991976.0
2019-05-09,72.92,73.98,71.02,73.72,901259.0
2019-05-08,74.42,75.19,73.25,74.06,525740.0
2019-05-07,77.61,78.18,74.23,74.66,1233163.0
2019-05-06,77.55,78.75,76.0,78.46,1121212.0
2019-05-03,81.22,81.53,80.31,80.96,1205273.0
2019-05-02,82.11,82.49,79.73,80.45,931050.0
2019-05-01,85.25,85.25,82.22,82.32,642475.0
2019-04-30,84.1,85.74,83.79,84.61,355800.0
2019-04-29,82.31,84.75,81.49,84.28,659184.0
2019-04-26,83.14,83.29,81.44,82.3,1204079.0
2019-04-25,83.62,83.62,81.18,83.08,545870.0
2019-04-24,88.01,88.01,82.46,83.96,1468938.0
2019-04-23,88.4,88.83,87.49,88.15,1109615.0
2019-04-22,87.0,88.85,86.34,88.5,499099.0
2019-04-18,87.97,88.44,86.62,87.79,668415.0
2019-04-17,86.9,88.11,86.39,88.03,1715560.0
2019-04-16,86.4,87.25,85.75,86.56,721732.0
2019-04-15,85.81,86.0,84.01,84.95,2084833.0
2019-04-12,86.58,86.86,84.99,86.08,757409.0
2019-04-11,85.4,85.4,84.2,84.89,486239.0
2019-04-10,85.67,86.24,84.75,85.55,622639.0
2019-04-09,85.62,86.28,85.22,85.79,517975.0
2019-04-08,86.83,87.5,85.29,86.46,548314.0
2019-04-05,86.84,88.3,86.15,87.18,669560.0
2019-04-04,87.36,88.22,85.07,85.69,1303898.0
2019-04-03,87.54,88.78,87.09,88.14,1105115.0
2019-04-02,87.7,88.67,86.05,86.49,1113574.0
2019-04-01,85.5,88.41,85.5,88.3,1309494.0
2019-03-29,81.94,84.44,81.6,84.01,1362858.0
2019-03-28,81.43,81.98,80.26,80.76,582670.0
2019-03-27,80.68,83.06,80.44,81.4,1351280.0
2019-03-26,80.46,81.0,79.67,80.35,681430.0
2019-03-25,78.7,81.05,78.11,80.03,707445.0
2019-03-22,82.69,83.25,79.12,79.64,1334898.0
2019-03-21,82.51,83.73,81.38,83.61,1036185.0
2019-03-20,85.3,85.3,82.36,83.14,1507877.0
2019-03-19,86.63,88.0,85.41,85.81,1287643.0
2019-03-18,83.95,87.3,83.48,86.17,2627213.0
2019-03-15,79.8,82.86,79.8,82.72,1335687.0
2019-03-14,79.17,79.86,77.67,79.03,722534.0
2019-03-13,80.87,80.99,78.73,79.85,1025927.0
2019-03-12,80.46,82.1,78.91,80.7,1140183.0
2019-03-11,77.17,80.7,76.22,80.01,1884863.0
2019-03-08,72.0,77.03,72.0,75.94,1766722.0
2019-03-07,77.37,77.37,74.3,75.03,2434020.0
2019-03-06,81.36,81.6,76.75,77.43,3781436.0
2019-03-05,71.45,86.13,71.45,81.44,8643514.0
2019-03-04,72.0,72.93,70.32,72.04,1941307.0
2019-03-01,71.2,71.9,70.3,70.88,1069988.0
2019-02-28,72.49,72.49,69.81,70.5,955997.0
2019-02-27,70.45,71.66,69.78,71.4,710126.0
2019-02-26,73.19,73.19,69.45,70.6,1376610.0
2019-02-25,75.75,76.67,72.86,73.97,1146815.0
2019-02-22,71.35,73.52,69.8,73.44,1127521.0
2019-02-21,72.43,72.43,69.59,70.89,853636.0
2019-02-20,72.61,75.15,72.01,72.05,1211879.0
2019-02-19,69.17,72.93,69.01,72.54,1074760.0
2019-02-15,69.06,69.95,68.0,68.76,559252.0
2019-02-14,69.5,69.5,67.5,68.87,1006609.0
2019-02-13,70.92,73.37,69.65,69.82,1149809.0
2019-02-12,67.29,70.92,66.98,70.31,1298503.0
2019-02-11,66.43,67.52,66.14,66.77,508892.0
2019-02-08,64.19,65.9,63.76,65.73,653250.0
2019-02-07,67.8,68.0,64.54,64.97,959961.0
2019-02-06,69.23,70.03,67.94,68.28,485489.0
2019-02-05,68.56,70.11,68.41,69.24,496473.0
2019-02-04,68.23,69.17,67.83,68.04,435880.0
2019-02-01,69.39,70.39,67.66,68.23,649929.0
2019-01-31,67.94,69.6,67.1,69.43,699111.0
2019-01-30,67.85,68.96,66.37,67.71,626153.0
2019-01-29,69.55,69.59,65.81,66.52,1042411.0
2019-01-28,72.26,72.26,68.99,69.87,1059078.0
2019-01-25,73.03,75.17,72.3,73.87,778762.0
2019-01-24,69.84,72.13,69.25,71.97,624952.0
2019-01-23,69.86,70.74,68.87,69.72,952390.0
